employment,country,edlevel,orgsize,yearscode,yearscodepro,currency,comptotal,age,year,comptotal_usd,edvalue,employment_value,lower_bound_orgsize,upper_bound_orgsize
Employed full-time,Canada,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,13,3,Canadian dollar,40000.0,28,2019,32000.0,0,0,1,10001
Employed full-time,New Zealand,Some college/university study without earning a degree,10 to 19 employees,12,4,New Zealand dollar,138000.0,23,2019,100740.0,1,0,10,19
Employed full-time,United States,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10 to 19 employees,17,8,United States dollar,90000.0,28,2019,90000.0,2,0,10,19
Employed full-time,Lithuania,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",1000 to 4999 employees,8,4,European Euro,3000.0,38,2019,3540.0,2,0,1000,4999
Employed full-time,United States,Some college/university study without earning a degree,10000 or more employees,35,18,United States dollar,103000.0,47,2019,103000.0,1,0,10000,10001
Employed full-time,Argentina,"Master’s degree (MA, MS, M.Eng., MBA, etc.)",10000 or more employees,6,3,United States dollar,700.0,25,2019,700.0,2,0,10000,10001
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,30,23,United States dollar,156000.0,42,2019,156000.0,0,0,100,499
Employed full-time,Bangladesh,"Secondary school (e.g. American high school, German Realschule or Gymnasium, etc.)",1,8,5,United States dollar,,30,2019,,3,0,1,10001
Employed full-time,Spain,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,9,2,European Euro,18000.0,27,2019,21240.0,0,0,10000,10001
"Independent contractor, freelancer, or self-employed",United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,19,14,United States dollar,,37,2019,,0,1,1,10001
Employed full-time,Serbia,Some college/university study without earning a degree,20 to 99 employees,15,8,United States dollar,5000.0,34,2019,5000.0,1,0,20,99
Employed full-time,United States,Some college/university study without earning a degree,20 to 99 employees,15,8,United States dollar,66000.0,34,2019,66000.0,1,0,20,99
Employed full-time,Netherlands,Associate degree,10000 or more employees,1,1,European Euro,76800.0,19,2019,90624.0,4,0,10000,10001
Employed full-time,Australia,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1000 to 4999 employees,6,2,Australian dollar,50000.0,24,2019,38000.0,0,0,1000,4999
Employed full-time,Ireland,"Bachelor’s degree (BA, BS, B.Eng., etc.)",10000 or more employees,7,2,European Euro,100000.0,24,2019,118000.0,0,0,10000,10001
Employed full-time,United Kingdom,"Bachelor’s degree (BA, BS, B.Eng., etc.)",20 to 99 employees,9,5,Pound sterling,30000.0,32,2019,41100.0,0,0,20,99
"Independent contractor, freelancer, or self-employed",Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",1,16,14,European Euro,46000.0,31,2019,54280.0,0,1,1,10001
"Independent contractor, freelancer, or self-employed",Germany,"Bachelor’s degree (BA, BS, B.Eng., etc.)",2-9 employees,3,2,European Euro,2200.0,32,2019,2596.0,0,1,2,9
Employed full-time,United Kingdom,Some college/university study without earning a degree,2-9 employees,7,5,Pound sterling,33000.0,27,2019,45210.0,1,0,2,9
Employed full-time,United States,"Bachelor’s degree (BA, BS, B.Eng., etc.)",100 to 499 employees,11,8,United States dollar,110000.0,30,2019,110000.0,0,0,100,499
